description,unit
"Providing Plastering to walls in C.M1:5 pro. (1cement:5sand) 3/4"" or 20mm thick including fine finishing rendering smoothe- ning the surface with cement, curing, all incidental and opera- tional cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. East and West wall below plinth beam west side middle long walls North and south walls Shorth walls Top surface of walls",
"Providing Plastering to walls in C.M1:5 pro. (1cement:5sand) 1/2"" or 12 mm thick including fine finishing rendering smoothe- ning the surface with cement, curing, all incidental and opera- tional cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. North and south walls Middle wall Short wall Deduction doors",
"Supply and laying ceramic Tiles of best quality of approved make size 300x300 mm of 7.3 mm thick of 1st quality having uniform colour and texture for flooring se in CM (1:3) prop. 12mm thick plastering and cement sabera putty & pointed with white cement and colouring pigments,all incidental , operational charges cost and conveyance of all labour and materials at site of work complete. For Toilets and both flooring",
"Supply of Double charged/multi chargaed statin free full body porcelain vitrified tiles with double layer pigment of size 600 X 600 mm and thickness between 8-10 mm and 1st quality having uniform colour of approved make and texture conforming to IS 13711, IS 13712, IS 13630 (Part 1 to 15) any colour and finish in all shades & first quality make for FLOORING set in C.M 1 : 5 Pro. (1cement : 5 sand) 20mm thick and laid with line and level using cement slurry at 3.30 kgs per square metre of area and pointing the joints with white cement mixed with coloured pigment to match with colour of tile including cost of all materials, labour charges, lead charges, seigniorage charges, incidental and operational charges, curing and celaning etc., at site of work complete as directed by the Engineer-in-chage. East side of toilets",
"Supplying and laying ceramic tiles of best quality having uniform colour of approved make and texture first class of sizes NOT LESS THAN300x300x7.3mm thick for skirting set in CM (1:3) pro. (1cement:3sand) of 12mm thick including neet cement slurry of with white cement paste to full depth mixed with pigment of maching shaded all leeds and lifts all incidental, operational charges, curring, mixing, seigniorage cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-Charge. East side open area walls Walls Passege walls between Toilet and bath Inside toilet and bath Deduction doors",
"SUPLY & FIXING or equivalent SINGLE SIDE PRELAM SOLID PANEL PVC DOOR FRAME (CHOUKHAT) Providing and fixing factory made Pac single side Prelam door frame of the size 50X47 mm with a wall thickness of 5mm, made out of extruded 5mm rigid Pac single side prelam sheet, meter cut at two corners and joined with 2nos. of 150mm long brackets of 1515mm MS. Square tube. The two vertical door profiles are to be reinforced with 19X19mm MS. square tube of 19 gauge. The door frame shall be fixed to the wall using 65/100mm long MS. Screws through the frame using Pac fasteners a minimum 4nos. of screws to be provided for each vertical member and minimum 2nos. for horizontal member etc., including seigniorage charges, cost and conveyance of all labour and materials at site of work complete as per manufacture specification and direction of Engineer-in-Charge. Frame toilet and bath room",
"Providing & fixing 30mm thick BRAND FACTORY MADE BOTH SIDE PRELAM SOLID PANEL PVC DOOR SHUTTER consisting of frame made out of 19gauge MS tube of 19mmX19mm for stiles, top and bottom rail, MS. Frame shall have a coat of steel primer so approved make and manufacture. MS. Frame covered with 5mm thick heat moulded Prelam Pac 'C' channel of size 30mm thickness, 70mm width out of which 50mm shall be flat and 20mm shall beta pered in 450 angle on either side for min gstiles: and 5mm thick,95mm wide PrelamP ac sheet out of which 75mm shall be flat and 20mm shall beta pered in 450 on the inner side to form top and bottom rail 115mm wide PrelamPac sheet out of which 75mm shall beflat and 20mm shall be tapered on both sides to form lock rail. Top, bottom and lock rail shall be provided either side of the panel. 10mm (5mmX2) thick, 20mm wide cross Pac sheet shall be provided as gap insert for to top to bottom rail. Panelling of 5mm thick both side Prelam Pac sheet to be fitted in the MS. Frame welded/sealed to the stiles & rails with 7mm (5mm+2mm) thick X15mm wide Pac sheet beading on inner side, and joined to gether with solvent cement adhesive etc. an additional 5mm thick Pac strip of 20mm width is to best uck on the interior side of the 'C' channel using Pacsolvent Cement adhesive etc. Complete as per direction of Engineer-in-charge, manufacture specification and drawing. Bath and toilet shutters",
"Supply and fixing of 6mm AC sheets (Charminar/Vishaka) for roofing including cost of 'J' - bolts, cost of washers, nuts, cost and conveyance of all labour, materials all incidental such as scaffolding, lift charges for finished item of work as directed by the Engineer-in-Charge.",
"Supply and fixing weld mesh of pichi 3''x1'' with welding in frame 35x35x5mm thick alround and middle vertical and MS Flat of size 25x6mm middle horizental including fabrication and fixing and welding to side columns, one coat of red oxide and two coats of enamel paint scaffolding cost and conveyance of all labour and materials at site of work complete For toilets",
"Supply and fixing of 88.90mm x 4.00 mm ODMS pipe at 8.36 kgs/1RM for purline, including cutting, welding, fabrication, fixing in position, scaffolding charges, hire charges of T&P, one coat of red oxide and two coats of enamel paint cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. For AC sheet roofs",
