description,unit
"SUPLY & FIXING or equivalent SINGLE SIDE PRELAM SOLID PANEL PVC DOOR FRAME (CHOUKHAT) Providing and fixing factory made Pac single side Prelam door frame of the size 50X47 mm with a wall thickness of 5mm, made out of extruded 5mm rigid Pac single side prelam sheet, meter cut at two corners and joined with 2nos. of 150mm long brackets of 1515mm MS. Square tube. The two vertical door profiles are to be reinforced with 19X19mm MS. square tube of 19 gauge. The door frame shall be fixed to the wall using 65/100mm long MS. Screws through the frame using Pac fasteners a minimum 4nos. of screws to be provided for each vertical member and minimum 2nos. for horizontal member etc., including , cost and conveyance of all labour and materials at site of work complete as per manufacture specification and direction of Engineer-in-Charge. AP SoR 2024-25 CFMS Code MAT-01334-S.No.707",
"Providing and fixing 30mm thick BRAND FACTORY MADE SOLID SINGLE SIDE PRELAM PANEL PVC DOOR SHUTTER consisting of frame made out of MS. Tubes of 19gauge thickness and size of 19mmX19mm for stiles, and 15mmX15mm for top and bottom rails. The MS. Frame shall have a coat of steel primers of approved make and manufacture. MS. Frame covered with 5mm thick heat moulded ""Rajshri"" single side Prelam Pac 'C"" channel of size 30mmX50mm to form stiles. 5mm thick & 75mm wide single side prelim Pac sheets shall be for the top, bottom and lock rails. Panelling of 5mm thick one side Pac sheet to be fitted in the MS. Frame and sealed to the front (prelam side) stiles and rails (which should have a 5mm 45 bent portion as beading) and attached to the back (white/ivory) stiles and rails which should have a 10mm 900 bent portion as beading) using 2 nos. 15mm wide X 5mm thick Pac sheet beading inside the 90 bent beading. All stiles, rails and beadings are to be joined to the panel using solvent cement etc., an additional 5mm thick Pac strip of 20mm width to be stuck on the interior side of the ""C"" channel using Pac solvent cement adhesive and 10mm (5mmX2) thick, 20mm wide cross Pac sheet to be fitted as gap insert for top and bottom rail etc., including , cost and conveyance of all labour and materials at site of work complete as per direction of Engineer - in - Charge. AP SoR 2024-25 CFMS Code MAT-01332-S.No.751",
"Supply of medium teak wood door with frame of any size double shutter, frame made at of 75 mm x 100 mm styles and rails 100 mm x 38 mm and flank, thickness 25 mm and fixing accessories 5’’ MS powder coated hinges 3 no’s for each shutter Al.tower bolts 200 mm long 2 no’s 4no’s of hold fasts embeded in PCC 1:2:4 Providing one coat of tar to the door frame on wall side, primer and two coats of enamel paint including cost and conveyance of all labour and materials at site of work complete.",
"MAKING GROOVES IN BRICK MASONRY of 12mm X 12mm at the JUNCTION of CONCRETE and BRICK MASONRY including finishing, curing etc., cost and conveyance of all labour and materials, etc., at site of work complete as directed by the Engineer-in-Charge.",
"Refilling of excavated earth in foundations and basement hire charges of T&P all incidentatl operational charges, including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Supplying and fixing of MS Grill using 25mm x 6mm MS flat alround and 10mm MS square bars horizontally and 3nos and vertically 11nos at 100cm centre to centre including fixing to wall with screws and painting grill with one coat of primer and two coats of enamel paint cost and conveyance of all materias at site of work complete. Supply and fixing aluminium anodised sliding windows as per drawing using frame section 62.10 mm x 29.50 mm at 0.881 kg/m and shutter section 40 x 18 x 150 mm including glazing clips , 5mm thick float glass rubber beading aluminium lock cum handle rollers etc.., cost and conveyance of all labour and materials at site of work complete.",
"Hire Charges for engaging of excavator for removing the debries and tree branches and disposing far away from the site, including cost and convenience of all labour and materials, oil charges, transportation charges etc., complete as directed by the Engineer - in-charge.",1Rm
"Supply & filling of sand in foundation and basement including watering, compacting all incidental and operational charges charges etc., cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1Rm
"Removing/chiselling the brick masonary wall with 0.125 width and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. AP SoR 2024-25 CFMS Code MAT-02151-S.No.601",1Rm
"Cutting of holes in brick masonary including hire charges of driling machine, crew charges and finishing the same including cost and conveyance of all labour and mateirals at site of work complete as directed by the Engineer-in-Charge. AP SoR 2024-25 CFMS Code LAB-00280-S.No.640",
"Supply & fixing of European Water Closet of Ist quality confirming to IS - 2556-Par-II-1973 of white glazed with 'P' trap with best Indian make plastic seat and lid with rubber or plastic buffers as per IS-2548-1996 and including 10lts capacity of PVC water tank with low level system, dual flush, internal components and short bend, cost of 12.70 mm PVC connection, 12.70mm NP angle stop cock, including cost and conveyance of all labour and materials at site of work complete as directed. Standard data-Separate data sheet- W/S & Sanitary data",
Supply & fixing of 12.70 mm NP bib cock Indian make heavy duty including cost and conveyance of all labour and materials at site of work complete as directed. Standard data-Separate data sheet- W/S & Sanitary data,
"Supply & fixing of bib cock cum health faucet with 1mt. Long tube & wall hook of jaguar continental series, chrome finish with 7 years warranty including cost and conveyance of all labour and materials at site of work complete as directed. Standard data-Separate data sheet- W/S & Sanitary data",
Supply & fixing of TV shape mirror with plastic frame of size 609.6mm X 457.20mm including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. Standard data-Separate data sheet- W/S & Sanitary data,
Supply & fixng NP soap dish heavy duty type with NP screws including cost and conveyance of all labour and mateirals at site of work complete as directed by the Engineer-in-Charge. Standard data-Separate data sheet- W/S & Sanitary data,1Rm
Supply & fixing of 19.04mm dia & 609.6mm long alluminium anodized towel rod with brackets and alluminium screws including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. AP SoR 2024-25 CFMS Code LAB-02160-S.No.616,1Rm
Construction of 0.90 m X 0.90 m inspection chamber Upto 904.00 mm height with brick masonry in CM 1:6 pro . with RCC cover 75mm thick including Including excavated PCC 1:5:10 100 mm thick using 40 mm gauge HBG metal PCC 1:2:4 for benching and channel 50 mm thick plastering 20 mm thick in CM 1:3 pro & 12 mm thick CM 1:3 curing steel cost and conveyance of all labour and materials at site of work complete. Standard data-Separate data sheet- W/S & Sanitary data,1Rm
"Providing 4'0"" dia Leach pit for 6'0"" depth using RCC pre cast rings of 4'0"" dia 6 Nos. and providing RCC pre cast cover, 110mm dia SWR vent pipe for 10'0"" length including earth work excavation, cost and transportation of the rings and cover to the site, grounting the joints with cement morter and filling the sides of the pit with excavated earth, cost of rope and other materials and T&P required including cost and conveyance of all materials and all incidental & operational, labour charges like mixing cement morter, curing etc., complete for finished item of work as per instructions of the Engineer-in-charge. As per attached sheetWS Toilet block data",1Rm
Supply & fixing of following CPVC pipes / specials to meet the requirement of ASTM - D 2846 and are produced in CTS (Copper tube sizes) 41.30mm OD Ashirvad flow guard SDR 13.50 pipes are made from idential CPVC compounds having the same physical properties for hot & cold water (IS 15778 - 2007) including cost and conveyance of all labour and materials at site of work complete as directed. 22.20 mm OD CPVC pipe SDR 13.50 Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data 22.20mm dia to 15.00mm dia CPVC Reducer 22.20mm dia CPVC FTA brass threaded 28.60 mm OD CPVC pipe SDR 13.50 Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data 28.60mm dia to 22.20mm dia CPVC Reducer 28.60mm dia CPVC FTA brass threaded 28.60mm dia zoloto make brass Ball valve 22.20 mm dia zoloto make brass valve,1Rm
"Supply, fixing and commissioning the following PVC pipes including couplers / bends / tees etc., including fixing necessary fittings like bends, plugs, couplers, junctions, tees etc., with solvent joining as per standard practice including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. 75mm PVC / SWR pipe of 4Kg/Sqcm. Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data AP SoR 2024-25 CFMS Code LAB-01978-S.No.425 AP SoR 2024-25 CFMS Code LAB-01985-S.No.432 110 mm PVC / SWR pipe of 4Kg/Sqcm. Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data Standard data-Separate data sheet- W/S & Sanitary data AP SoR 2024-25 CFMS Code LAB-01980-S.No.427 AP SoR 2024-25 CFMS Code LAB-01987-S.No.434 AP SoR 2024-25 CFMS Code LAB-01993-S.No.440 AP SoR 2024-25 CFMS Code LAB-01991-S.No.438 4"" dia nahany trap with CP jalli Standard data-Separate data sheet- W/S & Sanitary data",1Rm
Supply & fixing of sintex plastic water tank third layer ISI standard including loading unloading charges and including providing neccesary holes 1' dia - 4 No's and including fixing necessary including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Standard data-Separate data sheet- W/S & Sanitary data,
Supply of the following materials including cost and conveyance of all labour and materials at site of work complete. As directed by the Engineer - In - Charge. AP SoR 2024-25 CFMS Code MAT-02215 S.No. 717 P.No.230,1Cum
Fixing of departmental steel sinks 2No's of size 18' - 0'' x 16' - 0'' including all accenies 1 1/4 steel bowle with couppling 1 No and steel 'L' bend including scnees cost and conveyance of all labour and materials at site of work complete. As directed by the Engineer - In - charge.,1Cum
"Supplying and fixing 12.7 mm CP long body bib cock fancy type deluxe heavy duty Indian make with CP flangeheavy SEIKO/SENIOR/NICE or equivalent make including cost and conveyance of all materials and labour, etc. complete for finished item of work as directed by Engineer-in-Charge. MAT-01820 Standard data-Separate data sheet- W/S & Sanitary data",1Cum
"Transportation of dismantled material to a distance of 1.00 Km. away from site including loading, unloading cost and cnveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. As per item No : 1 7.20 x 1.20 = 8.55 Supply & fixing Indian make Flat Back Wash Hand Basin Ist quality conforming to IS : 2556-Part-4:1972 with waste fittings like rubber plug, chain 32 mm nominal size C.P. Fitting with parallel pipe thread conforming to IS : 2963-1979 and fitted with 15mm nominal bore chromium plated pillar Tap of Ist quality Indian make 400 grams Seiko / Senior / Nice / Esso or equivalent complete including 12.70mm PVC connection, 12.70mm angle stop cock, 31.70mm PVC flexigel waste water pipe or equivalent with standard CI brackets including wooden block : 550 X 400mm including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge.",1Cum
"Earth work excavation in ordinary soils like B.C.soils, hard gravel, hard morrum, loamy, clayey, red earth, including shoring strutting and dewatering for foundations of buildings and depositing on bank with initial lead of 10m as directed by engineering-in-charge.",
"Supply & filling of dust in foundation and basement including watering, compacting all incidental and operational charges, etc., cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",
"Plain cement concrete (1:5:10) proportion for column foundationof IS 383-1970 using 40mm hard granite metal, machine crushed from approved quary including mixing laying, ramming, curing, , etc. complete as directed by the Engineer- in-Charge.",
"Cement plastering to basements in CM(1:5) prop.20 Including racking out the joints, neat finishing, curing, including cost and conveyance of all labour and materials etc. at site of work complete as directed by the Engineer-in-Charge.",
Refilling with excavated earth including cost and conveyance of all labour and materials etc. at site of work complete as directed by the Engineer-in-Charge.,
"Providing and laying of mechanically mixed cement concrete pavement 150mm thick to the required levels using 0.103 Cum of machine crushed hard granite coarse aggregate of 40mm size & 0.044 cum of machine crushed hard granite coarse aggregate of 12mm size and 0.07 cum pure river sand of brought from approved quarry per Sqm of CC area laid in panels of size 3.50M x 3.50 M in line and level or slope using a Admixture of approved quality including form work, machine mixing, compaction with pin and screed board vibrator pan vibrator, cost of cement, cost of coarse and fine aggregates, fine finishing to even surface cutting and making grooves of 6mm x 50mm by using necessary tools/by cutting with necessary machine for Transverse/ contraction joints and providing departmental premoulded filler mastic pads of 12.7mm thick of shalimar/Lloyd or equivalent make for Expansion joints at every 31.5mts distance and rounding edges for Transverse/Contraction, Expansion joints and filling Transverse/Contraction, Expansion joints joints with shalijet seailing compound duly applying primer at every joint of exposed surface (including cost of shalijet seailing compound and primer) as approved by the site in charge including all incidental operational charges, cost of fuel, heating charges and tools and plants etc., cost and conveyance of all labour and materials at site of work as directed by the Engineer in Charge",
"Impervious coat over roof 20mm thick in CM(1:3) including neat finishing, curing, cost and conveyance of all labour and materials etc. complete as directed by the Engineer-in-Engineer.",
"Removing of damaged AC sheets, 'J' Bolts, washers & nuts including cutting the alround brick masonary / PCC including stacking the useful material for reuse and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by he Engineer-in-Charge. Standard data-Summary-S.No.114 a",
"Supply & fixing of roof accessorie made with pre-painted galvalume profile sheets with 0.5mm thick, width 0.585, length maximum 2 1/2"" mtrs. medium size large cap for ridge, barge cap, corner trim, L - flashing, down pipes gutter etc., including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",
"Painting two coats to old walls with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Standard data-Separate sheet-Painting data",
"Painting two coats to old Iron work with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Standard data-Separate sheet-Painting data",
"Painting with exterior emulsion paint two coats to walls with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge. Standard data-Separate sheet-Painting data",
Removing of damaged RR masonary in cement mortor and stacking useful material for reuse and disposing the debris to a for off distance all incidental and oprational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge,1m3
Removing of damaged brick masonary in cement mortor and stacking useful material for reuse and disposing the debris to a for off distance all incidental and oprational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge,1 cum
"Providing and laying plain cement concrete 1:3:6 prop.(1cement:3 sand:6metal)using 40 mm guage hard granite machine crushed metal conforming to IS 383-1970 in foundation and for BED of flooring including machine mixing,disposing in position,ramming,finishing, curing including all incidental operational and cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Charge.",1 cum
"Providing and laying pain cement concrete 1:2:4 prop. Using 20mm hard granite machine crushed metal for bed of flooring including Machine mixing depositing in position ramming, vibration curing labour and materials at site of work complete as directed by the Engineer-In-Charge.",10m2
"proving impervious plastering to inspection pit in CM1:3 prop (1cement:3sand)of 20 mm thick including cost of impervious compou-nd and labour charges for applyingcement slurry to the sureface before plastering cleaning the surface,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge",1 Rm
"proving plastering to inspection pit in CM1:4 prop (1cement:4sand)of 20 mm thick including cost and labour charges for applyingcement slurry to the sureface before plastering cleaning the surface,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge",1 cum
"Supply and fabrication errection of MS angle of size 50x50x6mm for fixing at edge of steps,including transportation charges,hire charges of T&P,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-Charge tion the site of work including cost and conveyance of all labour and",1 cum
"Supply and fabrication of tor steel fe 500 grade of vishaka/Tata steel/ Thirupathi TMT or any ISI marked or ISO approved makes including cutting, bending, tying grills as per design,cost of binding wires, loading and transporta-materials at site of work complete as directed by the Engineer-In-Charge.",1 cum
Transportation of dismantled materials and debris up to 5km away from site including loading in loading cost and conveyance of all labour and materials at site of work complete.,1 cum
Supply of FOSROCK chemical as bonding ajent for concrete including trasportation of materials to the site of work cost and conveyance of all labour and materials at site of work complete Standard data-Separate sheet-Inspection pit,
"Providing plain Cement Concrete (1:4:8) with a minimum of using 40 mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and , cost and conveyance of all materials and labour, at site of work complete (excluding cost of steel, binding wire and its fabrication) as directed by the Engineer-in-Charge.",10 cum
"Supply and placing of the Design Mix Concrete M 25 grade corresponding to IS 456 with cement content of 380 kgs per 1 cum of concrete using weigh batcher / mixer with 20mm size graded machine crushed hard granite metal (coarse aggregate - as per IS 383 - 1970 and IS 2386 Part 1 to Part 8) from approved quarry including cost and conveyance of all materials like cement, fine aggregate (sand) coarse aggregate, water etc., to site, centering using steel scaffolding pipes , jack props , wallers , foot plates , brackets , steel centering plates etc., including all operational, incidental and labour charges such as weigh batching, machine mixing, lifting of concrete manually, laying concrete, vibrating, curing etc., and overheads & contractors profit complete but excluding cost of steel and its fabrication charges for finished item of work (APSS No. 402) Standard data-Separate sheet- M25- S.No.8",10 sqm
"Providing and Laying plain cement concrete 1:2:4 pro. (1cement: 2sand: 4metal) using 20mm gauge hard granite machine crushed metal conforming to IS 383-1970 in including machine mixing, depositing in position, ramming, finishing, curing including all incidental operational and cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",10 sqm
"Refilling with useful available excavated earth (excluding rock) with a lead of 50 m in trenches, sides of foundations and basement with initial lead in layers not exceeding 15cm thick, watering and ramming including cost and conveyance of water to work site and all operaitonal, incidental, labour charges, hire charges of T&P etc., and complete for fnished item of work (APSS NO.309&310)",1cum
"Providing Plastering to wall surface with CM(1:5) 12mm thick including cost of all materials, including conveyannce of materials and including all operational, incidental and labour charges for mixing mortar, laying, rendering smooth and thread lining, curing, rounding off junctions of wall and slab etc., complete for finished item of work. (APSS No. 901 & 903).(BLD-CSTN-10-25)",1MT
"Providing Impervious Plastering to wall surface with CM(1:3) 20mm thick including cost of all materials, including conveyannce of materials and including all operational, incidental and labour charges for mixing mortar, laying, rendering smooth and thread lining, curing, rounding off junctions of wall and slab etc., complete for finished item of work. (APSS No. 901 & 903).(BLD-CSTN-10-25)",1MT
"Supply & fabrication of reinforcement steel FE 500 grade for RCC works including cutting,bending, tying, fixing, cost of binding wire as directed by the Engineer-in-Charge.",1MT
"RR Stone masonry with other than granite variety in super structure for any thickness of wall in CM 1:8 (1cement:8sand) including cutting of stone all incidental, operational, seignorage charges, curing charges,cost and conveyance of all labour and materials, at site of work complete as directed by the Engineer-in-charge.",
"PLASTERING TO WALLS 12mm thick in CM 1:5 Prop. (1cement:5sand) 16mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 4mm thick with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",10m²
"Painting with exterior emulsion paint two coats to walls with one coat of primer total three coats approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge.",10m²
"Supply of Double charged/multi chargaed statin free full body porcelain vitrified tiles with double layer pigment of size 600 X 600 mm and thickness between 8-10 mm and 1st quality having uniform colour of approved make and texture conforming to IS 13711, IS 13712, IS 13630 (Part 1 to 15) any colour and finish in all shades & first quality make for FLOORING set in C.M 1 : 5 Pro. (1cement : 5 sand) 20mm thick and laid with line and level using cement slurry at 3.30 kgs per square metre of area and pointing the joints with white cement mixed with coloured pigment to match with colour of tile including cost of all materials, labour charges, lead charges, seigniorage charges, incidental and operational charges, curing and celaning etc., at site of work complete as directed by the Engineer-in-chage. Supply and laying skirting tiles of size not less than 600 X 600 and thickness between 8-10mm Vitrified tiles of first quality having uniform colour and texture of best quality of approved make in CM ( 1:5 ) prop. 12mm thick for SKIRTING including neat fencing with cement slurry of honey like consistency spread at 3.30 kgs per sqm and joints pointed with wite cement paste to full depth mixed with pigment of matching shade with tiles, transportation, lift all incidental operational charges complete as directed.",1Rm
"supply and fixing anodised openable windows as for approved drawing with alluminium anodised section of series C jindal hollow sections and outer frame of 8804 of size 46 x 44 mm , shutter frame 8802 of size 44 mm x 46 mm and mullion frame of 8803 of size 59 x 38 and glazing section of 4433 with plain clear float glass 6 mm thick fixied including supply and fixing aluminium power coated friction stay hinges for each shutter, 1no of aluminium handle of 150 mm for each shutter and all labour charges for fixing the fixures with required no . of screws , bolts , nuts including labour charges for fixing the frame in position fixing shutter to frame etc, complete for finished item of work",1 sqm
"Supply and fixing aluminium anodised sliding windows as per drawing using frame section 62.10 mm x 29.50 mm at 0.881 kg/m and shutter section 40 x 18 x 150 mm including glazing clips , 5mm thick float glass rubber beading aluminium lock cum handle rollers etc.., cost and conveyance of all labour and materials at site of work complete.",1 Rm
"Providing and fixing factory made solid Wood Polymer Composite (WPC) single extruded Door Frame section of size with encapsulation of 8MM rigid layer on all the six surfaces. The door frame will have a rebat of 32MM. Door Frame section of 45x75 MM . The two Vertical members are to be joined together with the horizontal member using 8x50 MM long MS Star full thread screws to be used with reverse forward speed control hand drilling machine. The ready/assembled door frame is fixed to the wall using hold fast or bolt fasteners. A minimum of 4 No.s of screws to be provided for each vertical member & minimum 2no.s for horizontal member including cost of labour, hire charges of required T&P all incidential and operational charges cost and conveyance of all llabour and materials at site of work etc., complete as directed by the Engineer-in-charge.",1m²
"Providing and fixing 28 – 30 MM thick solid wood polymer composite (WPC) Double extracted door shutter with 3 mm top and bottom rigid layer with overall density of 750kg/cum including Al hinges 125 mm long 3no’s ,Al. Tower bolts 250 mm long, Al.aldrops 300mm long, ,Al door stopper 1no including cost and conveyance of all labour and materials at site of work complete",10m²
"Providing and fixing 28 – 30 MM thick solid wood polymer composite (WPC) single extracted door shutter with 3 mm top and bottom rigid layer with overall density of 750kg/cum including Al 125 mm long 3no’s ,Al. Tower bolts 250 mm long, Al.aldrops 300mm long, ,Al door stopper 1no including cost and conveyance of all labour and materials at site of work complete.",1 cum
Transportation of excavated earth to distance of 1Km away from the size including cost and conveyance of all labopur and materials at site of work complete as directed by the Engineer In Charge.,1 cum
"Providing plain Cement Concrete (1:4:8) using of with a minimum strength of grade using 40mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and seigniorage charges, cost and conveyance of all materials and labour, at site of work complete as directed by the Engineer-in-Charge.",1m³
"RR Stone masonry with other than granite variety in super structure for any thickness of wall in CM 1:6 (1cement:6sand) including cutting of stone all incidental, operational, seignorage charges, curing charges,cost and conveyance of all labour and materials, at site of work complete as directed by the Engineer-in-charge.",1m³
"Providing Granolithic flooring 20mm thick in CC 1:1:2 Prop. Using 6mm to 8mm HBG metal with glass panels of size 2'0"" X 2'0"" including laying, finishing, curing, compacting cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge.",1m³
"Labour charges for fabrication and errection of departmental released purlins made with MS angle of size 50 X 50 X 2.6mm at 3.74Kg/1Rm, welded two angles make box section cost of bolts and nuts, cost of one coat red oxide primer and two coats of enamel paint transportation charges hire charges of T&P including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1m²
"Providing and Laying plain cement concrete 1:2:4 Pro. (1 cement:2sand:4metal) using 20mm gauge hard granite machine crushed metal conforming to IS 383-1970 for BED block including machine mixing, deposi, ramming, finishing, curing including all incidental operational and seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",10m²
"PLASTERING TO WALLS 12mm thick in CM 1:5 Prop. (1cement:5sand) 9mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 3mm thic with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1m²
Binding wall in BM in CM (1:6)prop. To a thicknesss of 1' -1 1/2'' x 0.9'' and cement plastering to sides in CM (1:6)prop 1/2'' including cost and conveyance of all labour and materials at site of work,10m²
"Painting with exterior emulsion paint two coats to walls over primary coat total three coats with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge.",1m³
"Painting with Interior emulsion paint two coats to walls over primary coat total three coats with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge.",1m²
"Refilling of excavated earth in foundations and basement hire charges of T& P all incidentatl operational charges, including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1m²
"Providing plain Cement Concrete (1:4:8) using of with a minimum strength of grade using 40mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and seigniorage charges, cost and conveyance of all materials and labour, at site of work complete as directed by the Engineer-in-Charge. Supply and palcing of the design mix concrete M25 grade correspanding to IS 456 with cement content of 380 kgs per 1 cum of concrete using weight batcher / mixer with 20mm size graded machine crushed hard granite metal (coarse aggregate - as per IS 383 - 1970 and IS 2386 part 1 to part 8 from approved quarry including cost and conveyance of all materials like cement, fine aggregate (sand) coarse aggregate water etc.., to site centering using steel scaffolding pipes jack props wallers foot plates , brackets , steel centering plates etc.., including all operational, incidental and labour charges such as weight batching, machine mixing, lifting of concrete manually , laying concrete , vibrating , curing etc.., and over heads & contractors prifit complete but excluding cost of steel and its fabrication charges for finished item of work columns GL",1m³
"Pointing to RR masonry in CM 1:4 Prop. (1cement:4sand) in basement, racking out the joints including cleaning the surface, curing all incidental, operational and seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",10m²
"PLASTERING TO WALLS 20mm thick in CM 1:5 Prop. (1cement:5sand) 9mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 3mm thic with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1m²
2 Engaging of mechanical excavator including cost and conveyance of all labour and materials at site of work complete as directed by Approch to the site and removing,
Engaging of mechanical excavator including cost and conveyance of all labour and materials at site of work complete as directed by Approch to the site and removing,
"Dismantling the damaged brick masonary in cement mortor and cleaning away the debris from the workspot and care fuylly Stacking the materials for re use including of T &P, hire charges of all the T & P,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer in charge.",
"Bricks masonary with brick having a minimum crushing strength of 35kg/sq.cm. as per IS1077-1976 in superstructure for any thick ness of walls in C.M1:8pro.(1cement:8sand)including soaking of brick all incidental,operational, scaffolding,curing charge cost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0""above basement level)",
"Providing Plastering to flooring in C.M1:5 pro. (1cement:3sand) 3/4"" or 20mm thick including fine finishing rendering smoothe- ning the surface with cement, curing, all incidental and opera- tional cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge.",
"Plastering 3/4"" or 12mm thick in CM1:5 pro.(1cement:5sand) 5/8"" thick 1st coat and 2nd coat in CM1:3 pro.(1cement:3sand) 1/8"" thick with dubara sponge finishing including cleaning the surface cost of curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",
"white washing two coats to walls and ceiling with freshli burnt and slacked shell lime OR janatha cem of approved quality including cost of Gum,Gunjee and water,labour charges for preparing and cleaning the surface and dirt with soap and brushes including putty cost,scaffolding, cost and conveyance of all labiour and material at site of work complete as directed compound wall ADDL ITEMS coping work on top of pillars and compound wall in BM of size 1'3""x1'3"" in CM(1:6) prop. Refilling of excavated earth in foundation and basement hire hire charges of T&Pall incidental operational charges,including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer in charge.",
"Removing of damaged compound wall (RCC) pannels cleaning away the debris from the workspot including of all T&P, hire charges of all the T&P, cost and conveyance of all labour and material at site of work complete directed by the Engineer in charge.",10m3
